>>> EXPECTED ANSWER:
('R2D0', 'C0PO', 'bedrock')
('R2D88', 'C88PO', 'sandstone')
('R2D88', 'C88PO', 'stone')
('R2D88', 'C88PO', 'wood')
('R2D89', 'C89PO', 'bedrock')
('R2D89', 'C89PO', 'glass')
('R2D89', 'C89PO', 'gold')
('R2D89', 'C89PO', 'marble')
('R2D89', 'C89PO', 'obsidian')
('R2D89', 'C89PO', 'sandstone')
('R2D89', 'C89PO', 'stone')
('R2D89', 'C89PO', 'wood')
('R2D9', 'C9PO', 'bedrock')
('R2D9', 'C9PO', 'brick')
('R2D9', 'C9PO', 'concrete')
('R2D9', 'C9PO', 'glass')
('R2D9', 'C9PO', 'gold')
('R2D9', 'C9PO', 'marble')
('R2D9', 'C9PO', 'obsidian')
('R2D9', 'C9PO', 'sandstone')
('R2D9', 'C9PO', 'stone')
('R2D9', 'C9PO', 'wood')
('R2D90', 'C90PO', 'bedrock')
('R2D90', 'C90PO', 'brick')
('R2D90', 'C90PO', 'concrete')
('R2D90', 'C90PO', 'gold')
('R2D90', 'C90PO', 'marble')
('R2D90', 'C90PO', 'obsidian')
('R2D90', 'C90PO', 'sandstone')
('R2D90', 'C90PO', 'stone')
('R2D90', 'C90PO', 'wood')
('R2D91', 'C91PO', 'bedrock')
('R2D91', 'C91PO', 'brick')
('R2D91', 'C91PO', 'concrete')
('R2D91', 'C91PO', 'glass')
('R2D91', 'C91PO', 'gold')
('R2D91', 'C91PO', 'obsidian')
('R2D91', 'C91PO', 'sandstone')
('R2D92', 'C92PO', 'bedrock')
('R2D92', 'C92PO', 'gold')
('R2D92', 'C92PO', 'marble')
('R2D92', 'C92PO', 'obsidian')
('R2D92', 'C92PO', 'sandstone')
('R2D92', 'C92PO', 'stone')
('R2D92', 'C92PO', 'wood')
('R2D93', 'C93PO', 'bedrock')
('R2D93', 'C93PO', 'brick')
('R2D93', 'C93PO', 'concrete')
('R2D93', 'C93PO', 'glass')
('R2D93', 'C93PO', 'gold')
('R2D93', 'C93PO', 'marble')
('R2D93', 'C93PO', 'obsidian')
('R2D93', 'C93PO', 'sandstone')
('R2D93', 'C93PO', 'stone')
('R2D93', 'C93PO', 'wood')
('R2D94', 'C94PO', 'bedrock')
('R2D94', 'C94PO', 'brick')
('R2D94', 'C94PO', 'concrete')
('R2D94', 'C94PO', 'gold')
('R2D94', 'C94PO', 'marble')
('R2D94', 'C94PO', 'sandstone')
('R2D95', 'C95PO', 'bedrock')
('R2D95', 'C95PO', 'concrete')
('R2D95', 'C95PO', 'glass')
('R2D95', 'C95PO', 'sandstone')
('R2D95', 'C95PO', 'stone')
('R2D95', 'C95PO', 'wood')
('R2D96', 'C96PO', 'bedrock')
('R2D96', 'C96PO', 'brick')
('R2D96', 'C96PO', 'concrete')
('R2D96', 'C96PO', 'glass')
('R2D96', 'C96PO', 'gold')
('R2D96', 'C96PO', 'marble')
('R2D96', 'C96PO', 'obsidian')
('R2D96', 'C96PO', 'sandstone')
('R2D96', 'C96PO', 'stone')
('R2D96', 'C96PO', 'wood')
('R2D97', 'C97PO', 'bedrock')
('R2D97', 'C97PO', 'concrete')
('R2D97', 'C97PO', 'glass')
('R2D97', 'C97PO', 'gold')
('R2D97', 'C97PO', 'marble')
('R2D97', 'C97PO', 'obsidian')
('R2D97', 'C97PO', 'sandstone')
('R2D97', 'C97PO', 'stone')
('R2D98', 'C98PO', 'bedrock')
('R2D98', 'C98PO', 'concrete')
('R2D98', 'C98PO', 'glass')
('R2D98', 'C98PO', 'gold')
('R2D98', 'C98PO', 'marble')
('R2D98', 'C98PO', 'stone')
('R2D99', 'C99PO', 'bedrock')
('R2D99', 'C99PO', 'brick')
('R2D99', 'C99PO', 'concrete')
('R2D99', 'C99PO', 'gold')
('R2D99', 'C99PO', 'marble')
('R2D99', 'C99PO', 'obsidian')

>>> GOT ANSWER:
